id,city_id/id,name,type
zip_co_913010,l10n_co_base_location.city_co_91263,913010,urban
zip_co_913019,l10n_co_base_location.city_co_91263,913019,rural
zip_co_913018,l10n_co_base_location.city_co_91263,913018,rural
zip_co_913017,l10n_co_base_location.city_co_91263,913017,rural
zip_co_914057,l10n_co_base_location.city_co_91405,914057,rural
zip_co_914050,l10n_co_base_location.city_co_91405,914050,urban
zip_co_917010,l10n_co_base_location.city_co_91407,917010,urban
zip_co_917017,l10n_co_base_location.city_co_91407,917017,rural
zip_co_917018,l10n_co_base_location.city_co_91407,917018,rural
zip_co_916017,l10n_co_base_location.city_co_91430,916017,rural
zip_co_910001,l10n_co_base_location.city_co_91001,910001,urban
zip_co_910007,l10n_co_base_location.city_co_91001,910007,rural
zip_co_910008,l10n_co_base_location.city_co_91001,910008,rural
zip_co_916057,l10n_co_base_location.city_co_91460,916057,rural
zip_co_916058,l10n_co_base_location.city_co_91460,916058,rural
zip_co_913050,l10n_co_base_location.city_co_91530,913050,urban
zip_co_913057,l10n_co_base_location.city_co_91530,913057,rural
zip_co_912010,l10n_co_base_location.city_co_91536,912010,urban
zip_co_912018,l10n_co_base_location.city_co_91536,912018,rural
zip_co_912019,l10n_co_base_location.city_co_91536,912019,rural
zip_co_912017,l10n_co_base_location.city_co_91536,912017,rural
zip_co_911017,l10n_co_base_location.city_co_91540,911017,rural
zip_co_911010,l10n_co_base_location.city_co_91540,911010,urban
zip_co_911018,l10n_co_base_location.city_co_91540,911018,rural
zip_co_915010,l10n_co_base_location.city_co_91669,915010,urban
zip_co_915019,l10n_co_base_location.city_co_91669,915019,rural
zip_co_915018,l10n_co_base_location.city_co_91669,915018,rural
zip_co_915017,l10n_co_base_location.city_co_91669,915017,rural
zip_co_911030,l10n_co_base_location.city_co_91798,911030,urban
zip_co_911037,l10n_co_base_location.city_co_91798,911037,rural
zip_co_911039,l10n_co_base_location.city_co_91798,911039,rural
zip_co_911038,l10n_co_base_location.city_co_91798,911038,rural
zip_co_055030,l10n_co_base_location.city_co_05002,055030,urban
zip_co_055038,l10n_co_base_location.city_co_05002,055038,rural
zip_co_055037,l10n_co_base_location.city_co_05002,055037,rural
zip_co_057460,l10n_co_base_location.city_co_05004,057460,urban
zip_co_057467,l10n_co_base_location.city_co_05004,057467,rural
zip_co_053820,l10n_co_base_location.city_co_05021,053820,urban
zip_co_053827,l10n_co_base_location.city_co_05021,053827,rural
zip_co_055840,l10n_co_base_location.city_co_05030,055840,urban
zip_co_055847,l10n_co_base_location.city_co_05030,055847,rural
zip_co_055848,l10n_co_base_location.city_co_05030,055848,rural
zip_co_052840,l10n_co_base_location.city_co_05031,052840,urban
zip_co_052848,l10n_co_base_location.city_co_05031,052848,rural
zip_co_052847,l10n_co_base_location.city_co_05031,052847,rural
zip_co_056068,l10n_co_base_location.city_co_05034,056068,rural
zip_co_056067,l10n_co_base_location.city_co_05034,056067,rural
zip_co_056060,l10n_co_base_location.city_co_05034,056060,urban
zip_co_055830,l10n_co_base_location.city_co_05036,055830,urban
zip_co_055837,l10n_co_base_location.city_co_05036,055837,rural
zip_co_051810,l10n_co_base_location.city_co_05038,051810,urban
zip_co_051818,l10n_co_base_location.city_co_05038,051818,rural
zip_co_051817,l10n_co_base_location.city_co_05038,051817,rural
zip_co_052857,l10n_co_base_location.city_co_05040,052857,rural
zip_co_052850,l10n_co_base_location.city_co_05040,052850,urban
zip_co_056850,l10n_co_base_location.city_co_05044,056850,urban
zip_co_056858,l10n_co_base_location.city_co_05044,056858,rural
zip_co_056857,l10n_co_base_location.city_co_05044,056857,rural
zip_co_057841,l10n_co_base_location.city_co_05045,057841,urban
zip_co_057840,l10n_co_base_location.city_co_05045,057840,urban
zip_co_057847,l10n_co_base_location.city_co_05045,057847,rural
zip_co_057820,l10n_co_base_location.city_co_05051,057820,urban
zip_co_057828,l10n_co_base_location.city_co_05051,057828,rural
zip_co_057827,l10n_co_base_location.city_co_05051,057827,rural
zip_co_057829,l10n_co_base_location.city_co_05051,057829,rural
zip_co_054838,l10n_co_base_location.city_co_05055,054838,rural
zip_co_054830,l10n_co_base_location.city_co_05055,054830,urban
zip_co_054837,l10n_co_base_location.city_co_05055,054837,rural
zip_co_055860,l10n_co_base_location.city_co_05059,055860,urban
zip_co_055867,l10n_co_base_location.city_co_05059,055867,rural
zip_co_051028,l10n_co_base_location.city_co_05079,051028,rural
zip_co_051027,l10n_co_base_location.city_co_05079,051027,rural
zip_co_051020,l10n_co_base_location.city_co_05079,051020,urban
zip_co_051050,l10n_co_base_location.city_co_05088,051050,urban
zip_co_051057,l10n_co_base_location.city_co_05088,051057,rural
zip_co_051059,l10n_co_base_location.city_co_05088,051059,rural
zip_co_051051,l10n_co_base_location.city_co_05088,051051,urban
zip_co_051058,l10n_co_base_location.city_co_05088,051058,rural
zip_co_051052,l10n_co_base_location.city_co_05088,051052,urban
zip_co_051054,l10n_co_base_location.city_co_05088,051054,urban
zip_co_051053,l10n_co_base_location.city_co_05088,051053,urban
zip_co_051420,l10n_co_base_location.city_co_05086,051420,urban
zip_co_051427,l10n_co_base_location.city_co_05086,051427,rural
zip_co_056070,l10n_co_base_location.city_co_05091,056070,urban
zip_co_056077,l10n_co_base_location.city_co_05091,056077,rural
zip_co_056860,l10n_co_base_location.city_co_05093,056860,urban
zip_co_056867,l10n_co_base_location.city_co_05093,056867,rural
zip_co_056868,l10n_co_base_location.city_co_05093,056868,rural
zip_co_052060,l10n_co_base_location.city_co_05107,052060,urban
zip_co_052067,l10n_co_base_location.city_co_05107,052067,rural
zip_co_052068,l10n_co_base_location.city_co_05107,052068,rural
zip_co_057030,l10n_co_base_location.city_co_05113,057030,urban
zip_co_057037,l10n_co_base_location.city_co_05113,057037,rural
zip_co_057038,l10n_co_base_location.city_co_05113,057038,rural
zip_co_057067,l10n_co_base_location.city_co_05138,057067,rural
zip_co_057068,l10n_co_base_location.city_co_05138,057068,rural
zip_co_057060,l10n_co_base_location.city_co_05138,057060,urban
zip_co_052450,l10n_co_base_location.city_co_05120,052450,urban
zip_co_052458,l10n_co_base_location.city_co_05120,052458,rural
zip_co_052457,l10n_co_base_location.city_co_05120,052457,rural
zip_co_056840,l10n_co_base_location.city_co_05125,056840,urban
zip_co_056847,l10n_co_base_location.city_co_05125,056847,rural
zip_co_055440,l10n_co_base_location.city_co_05129,055440,urban
zip_co_055448,l10n_co_base_location.city_co_05129,055448,rural
zip_co_055447,l10n_co_base_location.city_co_05129,055447,rural
zip_co_052020,l10n_co_base_location.city_co_05134,052020,urban
zip_co_052027,l10n_co_base_location.city_co_05134,052027,rural
zip_co_053450,l10n_co_base_location.city_co_05142,053450,urban
zip_co_053457,l10n_co_base_location.city_co_05142,053457,rural
zip_co_056040,l10n_co_base_location.city_co_05145,056040,urban
zip_co_056047,l10n_co_base_location.city_co_05145,056047,rural
zip_co_057850,l10n_co_base_location.city_co_05147,057850,urban
zip_co_057857,l10n_co_base_location.city_co_05147,057857,rural
zip_co_057858,l10n_co_base_location.city_co_05147,057858,rural
zip_co_051840,l10n_co_base_location.city_co_05150,051840,urban
zip_co_051847,l10n_co_base_location.city_co_05150,051847,rural
zip_co_052410,l10n_co_base_location.city_co_05154,052410,urban
zip_co_052418,l10n_co_base_location.city_co_05154,052418,rural
zip_co_052417,l10n_co_base_location.city_co_05154,052417,rural
zip_co_057410,l10n_co_base_location.city_co_05172,057410,urban
zip_co_057417,l10n_co_base_location.city_co_05172,057417,rural
zip_co_057418,l10n_co_base_location.city_co_05172,057418,rural
zip_co_053050,l10n_co_base_location.city_co_05190,053050,urban
zip_co_053057,l10n_co_base_location.city_co_05190,053057,rural
zip_co_056460,l10n_co_base_location.city_co_05101,056460,urban
zip_co_056467,l10n_co_base_location.city_co_05101,056467,rural
zip_co_056468,l10n_co_base_location.city_co_05101,056468,rural
zip_co_054440,l10n_co_base_location.city_co_05197,054440,urban
zip_co_054447,l10n_co_base_location.city_co_05197,054447,rural
zip_co_054448,l10n_co_base_location.city_co_05197,054448,rural
zip_co_053810,l10n_co_base_location.city_co_05206,053810,urban
zip_co_053817,l10n_co_base_location.city_co_05206,053817,rural
zip_co_056410,l10n_co_base_location.city_co_05209,056410,urban
zip_co_056417,l10n_co_base_location.city_co_05209,056417,rural
zip_co_051047,l10n_co_base_location.city_co_05212,051047,rural
zip_co_051040,l10n_co_base_location.city_co_05212,051040,urban
zip_co_051048,l10n_co_base_location.city_co_05212,051048,rural
zip_co_057430,l10n_co_base_location.city_co_05234,057430,urban
zip_co_057437,l10n_co_base_location.city_co_05234,057437,rural
zip_co_057438,l10n_co_base_location.city_co_05234,057438,rural
zip_co_051850,l10n_co_base_location.city_co_05237,051850,urban
zip_co_051858,l10n_co_base_location.city_co_05237,051858,rural
zip_co_051857,l10n_co_base_location.city_co_05237,051857,rural
zip_co_055810,l10n_co_base_location.city_co_05240,055810,urban
zip_co_055817,l10n_co_base_location.city_co_05240,055817,rural
