id,name,zip_id:id
1,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991001
2,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991007
3,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991008
4,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991009
5,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991017
6,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991018
7,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991019
8,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991027
9,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991028
10,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991029
11,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991037
12,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991038
13,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991039
14,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991047
15,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991048
16,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991049
17,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991057
18,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991058
19,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_991059
20,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_992001
21,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_992007
22,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_992008
23,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_992009
24,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_992017
25,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_992018
26,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_992050
27,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_995007
28,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_995008
29,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_995009
30,ANDALUCÍA,l10n_co_base_location.zip_co_050001
31,LA FRANCIA,l10n_co_base_location.zip_co_050001
32,LA FRONTERA,l10n_co_base_location.zip_co_050001
33,LA ISLA,l10n_co_base_location.zip_co_050001
34,PABLO VI,l10n_co_base_location.zip_co_050001
35,PLAYÓN DE LOS COMUNEROS,l10n_co_base_location.zip_co_050001
36,VILLA DEL SOCORRO,l10n_co_base_location.zip_co_050001
37,VILLA NIZA,l10n_co_base_location.zip_co_050001
38,ALDEA PABLO VI,l10n_co_base_location.zip_co_050002
39,CARPINELO,l10n_co_base_location.zip_co_050002
40,EL COMPROMISO,l10n_co_base_location.zip_co_050002
41,LA AVANZADA,l10n_co_base_location.zip_co_050002
42,LA ESPERANZA NO.2,l10n_co_base_location.zip_co_050002
43,POPULAR,l10n_co_base_location.zip_co_050002
44,SANTO DOMINGO SAVIO NO.1,l10n_co_base_location.zip_co_050002
45,SANTO DOMINGO SAVIO NO.2,l10n_co_base_location.zip_co_050002
46,GRANIZAL,l10n_co_base_location.zip_co_050003
47,LA ROSA,l10n_co_base_location.zip_co_050003
48,MOSCÚ NO.1,l10n_co_base_location.zip_co_050003
49,MOSCÚ NO.2,l10n_co_base_location.zip_co_050003
50,SAN PABLO,l10n_co_base_location.zip_co_050003
51,SANTA CRUZ,l10n_co_base_location.zip_co_050003
52,VILLA GUADALUPE,l10n_co_base_location.zip_co_050003
53,ARANJUEZ,l10n_co_base_location.zip_co_050004
54,BERLIN,l10n_co_base_location.zip_co_050004
55,BERMEJAL,l10n_co_base_location.zip_co_050004
56,LOS ALAMOS,l10n_co_base_location.zip_co_050004
57,LA PIÑUELA,l10n_co_base_location.zip_co_050004
58,PALERMO,l10n_co_base_location.zip_co_050004
59,SAN ISIDRO,l10n_co_base_location.zip_co_050004
60,CAMPO VALDÉS NO.2,l10n_co_base_location.zip_co_050005
61,LA SALLE,l10n_co_base_location.zip_co_050005
62,LAS GRANJAS,l10n_co_base_location.zip_co_050005
63,MARÍA CANO,l10n_co_base_location.zip_co_050005
64,CARAMBOLAS,l10n_co_base_location.zip_co_050005
65,ORIENTE,l10n_co_base_location.zip_co_050005
66,SAN JOSÉ LA CIMA NO.1,l10n_co_base_location.zip_co_050005
67,SAN JOSÉ LA CIMA NO.2,l10n_co_base_location.zip_co_050005
68,SANTA INÉS,l10n_co_base_location.zip_co_050005
69,BRASILIA,l10n_co_base_location.zip_co_050006
70,CAMPO VALDÉS NO.1,l10n_co_base_location.zip_co_050006
71,LAS ESMERALDAS,l10n_co_base_location.zip_co_050006
72,MIRANDA,l10n_co_base_location.zip_co_050006
73,MORAVIA,l10n_co_base_location.zip_co_050006
74,SIN INFORMACION DE BARRIOS,l10n_co_base_location.zip_co_050007
75,EL CHAGUALO,l10n_co_base_location.zip_co_050010
76,ESTACIÓN VILLA,l10n_co_base_location.zip_co_050010
77,HOSPITAL SAN VICENTE DE PAÚL,l10n_co_base_location.zip_co_050010
78,JARDÍN BOTÁNICO,l10n_co_base_location.zip_co_050010
79,JESÚS NAZARENO,l10n_co_base_location.zip_co_050010
80,MANRIQUE CENTRAL NO.1,l10n_co_base_location.zip_co_050010
81,PARQUE NORTE,l10n_co_base_location.zip_co_050010
82,SAN BENITO,l10n_co_base_location.zip_co_050010
83,SAN PEDRO,l10n_co_base_location.zip_co_050010
84,SEVILLA,l10n_co_base_location.zip_co_050010
85,UNIVERSIDAD DE ANTIOQUIA,l10n_co_base_location.zip_co_050010
86,BATALLÓN GIRARDOT,l10n_co_base_location.zip_co_050011
87,EL POMAR,l10n_co_base_location.zip_co_050011
88,EL RAIZAL,l10n_co_base_location.zip_co_050011
89,LA CRUZ,l10n_co_base_location.zip_co_050011
90,MANRIQUE CENTRAL NO.2,l10n_co_base_location.zip_co_050011
91,MANRIQUE ORIENTAL,l10n_co_base_location.zip_co_050011
92,VERSALLES NO.1,l10n_co_base_location.zip_co_050011
93,VERSALLES NO.2,l10n_co_base_location.zip_co_050011
94,BOSTON,l10n_co_base_location.zip_co_050012
95,LA CANDELARIA,l10n_co_base_location.zip_co_050012
96,LA MANSIÓN,l10n_co_base_location.zip_co_050012
97,LOS ÁNGELES,l10n_co_base_location.zip_co_050012
98,PRADO,l10n_co_base_location.zip_co_050012
99,SAN MIGUEL,l10n_co_base_location.zip_co_050012
100,VILLA HERMOSA,l10n_co_base_location.zip_co_050012
101,VILLA NUEVA,l10n_co_base_location.zip_co_050012
102,BARRIO CAYCEDO,l10n_co_base_location.zip_co_050013
103,EL PINAL,l10n_co_base_location.zip_co_050013
104,ENCISO,l10n_co_base_location.zip_co_050013
105,LA LADERA,l10n_co_base_location.zip_co_050013
106,LA LIBERTAD,l10n_co_base_location.zip_co_050013
107,LLANADITAS,l10n_co_base_location.zip_co_050013
108,LOS MANGOS,l10n_co_base_location.zip_co_050013
109,SUCRE,l10n_co_base_location.zip_co_050013
110,TRECE DE NOVIEMBRE,l10n_co_base_location.zip_co_050013
111,ALEJANDRO ECHAVARRÍA,l10n_co_base_location.zip_co_050014
112,BARRIOS DE JESÚS,l10n_co_base_location.zip_co_050014
113,JUAN PABLO II,l10n_co_base_location.zip_co_050014
114,LA SIERRA,l10n_co_base_location.zip_co_050014
